id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio
2,163 Boutique Hotel,Via Nazionale,163,41.8969772,12.4872871,1,13,7,2,4,1,info@163boutiquehotel.com,685386444,,1
3,Hotel 2 Mari,Via Silicella,10,41.8650091,12.5983985,3,36,20,4,16,,,,,6
4,69 Suite Boutique Hotel,Via Nazionale,69,41.8992813,12.4912527,2,19,7,2,1,2,iolematilde@gmail.com,3332461025,,1
5,939 Hotel,Via del Clementino,94,41.903117,12.4754549,3,24,16,10,4,2,hotel939@hotmail.com,668300312,,1
6,Hotel Aberdeen,Via Firenze,48,41.9026249,12.4939786,3,69,37,10,22,5,,,,1
7,Abitart Hotel,Via Pellegrino Matteucci,10,41.8719632,12.4806735,4,148,65,,53,6,,,,8
8,Aca Hotel Viminale,Via Palermo,36,41.899602,12.492923,3,46,23,2,19,2,939srl@pec.it,3939249008,,1
9,Hotel Accademia,Piazza dell'Accademia di San Luca,75,41.9018066,12.4838041,3,167,74,13,34,23,,,,1
10,Adï¿½sso Hotel,Via Guido Mazzoni,18,41.910118,12.5291194,4,170,83,,80,2,info@adessohotel.it,637350276,,2
11,Hotel Adriano,Via di Pallacorda,2,41.902403,12.475703,3,191,80,6,51,9,,,,1
12,Adrianus Hotel,Via di Tor Millina,35,41.8991399,12.4713339,2,14,7,,7,,hadrianussrl@gmail.com,3477563616,,1
13,Hotel Adriatic,Via Giovanni Vitelleschi,25,41.9043902,12.4622868,2,63,41,19,22,,,,,1
14,Hotel Al Sanpietrino,Via Giovanni Bettolo,43,41.9119083,12.4564414,2,16,8,,5,3,,,,1
15,Al Viminale Hill Inn Hotel,Via del Viminale,38,41.9002489,12.4959438,2,18,9,,9,,,,,1
16,Hotel Invictus,Via Quintino Sella,15,41.9070668,12.4966683,2,24,13,2,11,,sandelsrls@gmail.com,3939985438,,1
17,Hotel Abruzzi,Piazza della Rotonda,69,41.8993916,12.4771627,3,44,19,2,10,6,,,,1
18,Hotel Alessandrino,Via Clemente Alessandrino,9,41.8947959,12.4523841,3,62,26,3,18,1,amministrazione@hotelalessandrino.com,639674144,,13
19,Hotel Casali,Via Giovanni Amendola,95,41.8992831,12.5005591,2,36,20,5,14,1,0,0,,1
20,Hotel Colonna Suite del Parlamento,Via della Colonna Antonina,41,41.9003904,12.4792049,2,16,7,1,3,3,info@colonnasuite.com,669208008,,1
21,Hotel Concordia,Via di Capo Le Case,14,41.9038621,12.4849143,3,48,24,1,22,1,info@concordiahotel.it,66791953,https://www.concordiahotel.it/it/,1
22,Hotel Del Senato,Piazza della Rotonda,73,41.8991751,12.4773018,3,132,56,4,34,12,,,,1
23,Hotel della Torre Argentina,Corso Vittorio Emanuele II,102,41.896172,12.475935,3,117,59,10,42,5,scorteggiani@hotmail.com,66833886,,1
24,Hotel Delle Regioni,Via Zucchelli,1 C,41.9043511,12.4865051,3,21,11,1,10,,fpdarc@gmail.com,3384990507,,1
25,Hotel Demetra,Via del Viminale,8,41.900698,12.496765,4,60,28,4,16,8,amministrazionesharkei@gmail.com,688373410,,1
26,Hotel Diffuso Condotti Palace,Via Mario De Fiori,59 B,41.9063259,12.4808069,1,68,32,,29,2,,,,1
