id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
78,Hotel Aurora Garden,,"12",41.9468318,12.5697401,3,64,43,22,21,,info@hotelauroragarden.net,64116673,,4,IV,4
220,Hotel Al Casaletto,,"1",41.9381201,12.6209419,2,23,19,15,4,,casaletto7caminisrl@pec.it,623484624,www.alcasaletto.it,4,IV,4
248,Hotel Bella Vita,,3:00 AM,41.9005612,12.5339707,3,43,19,,15,3,ali.sal8287@yahoo.com,3803686453,,4,IV,4
296,Hotel Darival,,"11",41.9461778,12.5666917,3,31,21,11,10,,,,,4,IV,4
301,Hotel Degli Imperatori,,"15",41.9472825,12.5885419,4,108,43,3,19,17,info@hotelimperatori.biz,641227623,,4,IV,4
364,Hotel Idea,,"7",41.930187,12.560864,3,388,86,8,48,30,dongpartners@gmail.com,645610700,,4,IV,4
461,Hotel Roma Pietralata,,"66",41.9146349,12.5542948,3,129,68,17,41,10,rm.pietralata@hotelbb.com,64510612,https://www.hotel-bb.com/it,4,IV,4
463,Hotel Roma Tiburtina Metro,,"28",41.9227292,12.5702613,3,25,15,5,10,,info@hotelromatiburtina.it,690209440,www.hotelromatiburtina.it,4,IV,4
478,Hotel Shasa,,"11",41.9315773,12.57856,3,25,14,3,11,,info@shasahotel.com,64101633,http://www.shasahotel.com/prenotazioni.html,4,IV,4
529,I Casali OC Hotel,,"1352",41.9375424,12.6198679,4,73,41,13,26,1,,,,4,IV,4
544,Hotel La Locanda Del Borgo,,"1330",41.9644998,12.5968211,2,22,18,14,4,,,,,4,IV,4
628,Park Hotel Cervara,,"126",41.9226825,12.5880998,4,33,19,6,12,1,,,,4,IV,4
731,Hotel Torre Di Pratolungo,,"2",41.9454999,12.6068212,3,192,72,,24,48,,,,4,IV,4
